[ 2012-08-21T22:51:25+08:00 ] /message/ | INFO: Run TokenBuild Behavior [ RunTime:0.002725s ]
[ 2012-08-21T22:51:25+08:00 ] /message/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002267s ]
[ 2012-08-21T22:51:25+08:00 ] /message/ | INFO: Run ShowRuntime Behavior [ RunTime:0.002646s ]
[ 2012-08-21T22:51:25+08:00 ] /message/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.010229s ]
[ 2012-08-21T22:51:25+08:00 ] /message/ | INFO: Tag[ view_end ] --START--
[ 2012-08-21T22:51:25+08:00 ] /message/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.002536s ]
[ 2012-08-21T22:51:25+08:00 ] /message/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.002652s ]
[ 2012-08-21T22:51:26+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --START--
[ 2012-08-21T22:51:26+08:00 ] /favicon.ico | INFO: Run CheckRoute Behavior [ RunTime:0.002248s ]
[ 2012-08-21T22:51:26+08:00 ] /favicon.ico | INFO: Tag[ route_check ] --END-- [ RunTime:0.002388s ]
[ 2012-08-21T22:51:26+08:00 ] /favicon.ico | INFO: Tag[ app_begin ] --START--
[ 2012-08-21T22:51:26+08:00 ] /favicon.ico | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001976s ]
